1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,22-070,2000,28,27,2398,26.6,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,1.0,1.6,0.02,0.04,0.06,0.02,0.06,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34-168,1987,25,25,2173,24.1,1,0,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,1.0,1.0,0.2,1.2,0.04,0.01,0.05,0.04,0.05,Matches
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21-354,2000,25,24,2057,22.9,0,0,0,0,0,10,2,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.9,1.6,0.03,0.04,0.07,0.03,0.07,Matches
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29-042,1993,24,24,2089,23.2,0,2,0,0,0,8,0,0.00,0.09,0.09,0.00,0.09,1.8,1.8,2.1,3.8,0.08,0.09,0.17,0.08,0.17,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-337,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,23-132,1998,19,5,638,7.1,0,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,2.2,2.2,1.1,3.3,0.31,0.16,0.47,0.31,0.47,Matches
Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18-352,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,Matches
Tammy Abraham,eng ENG,FW,Roma,it Serie A,24-164,1997,28,28,2357,26.2,13,3,11,2,2,8,0,0.50,0.11,0.61,0.42,0.53,16.3,14.7,3.1,17.8,0.62,0.12,0.74,0.56,0.68,Matches
Luis Abram,pe PER,DF,Granada,es La Liga,26-016,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,34-033,1988,21,20,1726,19.2,3,0,3,0,0,1,1,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.2,1.5,0.07,0.01,0.08,0.07,0.08,Matches
Ragnar Ache,de GER,"FW,MF",Eint Frankfurt,de Bundesliga,23-230,1998,10,0,130,1.4,0,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,0.4,0.4,0.3,0.7,0.30,0.19,0.49,0.30,0.49,Matches
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30-138,1991,24,19,1665,18.5,1,3,1,0,0,6,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,2.7,4.0,0.07,0.14,0.21,0.07,0.21,Matches
Che Adams,sct SCO,FW,Southampton,eng Premier League,25-245,1996,23,19,1647,18.3,7,3,7,0,0,0,0,0.38,0.16,0.55,0.38,0.55,5.5,5.5,2.2,7.8,0.30,0.12,0.42,0.30,0.42,Matches
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,23-029,1999,19,10,1096,12.2,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.8,1.0,0.01,0.07,0.08,0.01,0.08,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28-296,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,Matches
Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18-103,2003,8,2,352,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8,0.12,0.09,0.21,0.12,0.21,Matches
Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21-309,2000,24,12,1176,13.1,3,2,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,4.1,4.1,1.7,5.8,0.31,0.13,0.44,0.31,0.44,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21-229,2000,28,22,1908,21.2,1,6,1,0,0,4,0,0.05,0.28,0.33,0.05,0.33,1.5,1.5,4.5,6.0,0.07,0.21,0.28,0.07,0.28,Matches
