1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Max Aarons,DF,Norwich City,22-070,0,1
Yunis Abdelhamid,DF,Reims,34-168,1,0
Salis Abdul Samed,MF,Clermont Foot,21-354,0,0
Laurent Abergel,MF,Lorient,29-042,0,2
Charles Abi,FW,Saint-Étienne,21-337,0,0
Dickson Abiama,FW,Greuther Fürth,23-132,0,1
Matthis Abline,FW,Rennes,18-352,0,0
Tammy Abraham,FW,Roma,24-164,13,3
Luis Abram,DF,Granada,26-016,0,0
Francesco Acerbi,DF,Lazio,34-033,3,0
Ragnar Ache,"FW,MF",Eint Frankfurt,23-230,0,1
Marcos Acuña,DF,Sevilla,30-138,1,3
Che Adams,FW,Southampton,25-245,7,3
Tyler Adams,MF,RB Leipzig,23-029,0,1
Sargis Adamyan,"FW,MF",Hoffenheim,28-296,1,0
Martin Adeline,"MF,FW",Reims,18-103,0,0
Amine Adli,"FW,MF",Leverkusen,21-309,3,2
Yacine Adli,"MF,FW",Bordeaux,21-229,1,6
Michel Aebischer,MF,Bologna,25-068,0,0
Felix Afena-Gyan,FW,Roma,19-055,2,0
Martin Agirregabiria,DF,Alavés,25-309,0,1
Julen Agirrezabala,GK,Athletic Club,21-079,0,0
Lucien Agoume,MF,Brest,20-034,0,0
Kevin Agudelo,"FW,MF",Spezia,23-121,2,0
Nayef Aguerd,DF,Rennes,25-350,2,1
Sergio Agüero,FW,Barcelona,33-286,1,0
Ruben Aguilar,DF,Monaco,28-323,0,1
Álvaro Aguirre,FW,Rayo Vallecano,22-040,0,0
Naouirou Ahamada,MF,Stuttgart,19-351,0,0
Anel Ahmedhodzic,DF,Bordeaux,22-354,0,1
Jean-Eudes Aholou,MF,Strasbourg,27-360,1,1
Joseph Aidoo,DF,Celta Vigo,26-167,0,0
Ola Aina,DF,Torino,25-158,0,0
Rayan Aït Nouri,DF,Wolves,20-282,0,2
Kristoffer Ajer,DF,Brentford,23-332,0,2
Ludovic Ajorque,FW,Strasbourg,28-018,10,7
