1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Luis Abram,pe PER,DF,Granada,26-016,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches
Marcos Acuña,ar ARG,DF,Sevilla,30-138,1991,24,19,1665,18.5,1,3,1,0,0,6,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,2.7,4.0,0.07,0.14,0.21,0.07,0.21,Matches
Martin Agirregabiria,es ESP,DF,Alavés,25-309,1996,18,16,1457,16.2,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,1.0,0.01,0.06,0.06,0.01,0.06,Matches
Julen Agirrezabala,es ESP,GK,Athletic Club,21-079,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Agüero,ar ARG,FW,Barcelona,33-286,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,22-040,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,26-167,1995,22,20,1738,19.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.00,0.01,0.01,0.01,Matches
Carlos Akapo,gq EQG,DF,Cádiz,29-003,1993,16,13,1178,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches
Ilias Akhomach,es ESP,FW,Barcelona,17-333,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,Matches
Paul Akouokou,ci CIV,MF,Betis,24-085,1997,6,4,337,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
David Alaba,at AUT,DF,Real Madrid,29-264,1992,25,25,2242,24.9,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.8,0.8,2.2,3.0,0.03,0.09,0.12,0.03,0.12,Matches
Tomás Alarcón,cl CHI,MF,Cádiz,23-055,1999,19,15,1326,14.7,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.15,0.07,0.15,Matches
Jordi Alba,es ESP,DF,Barcelona,32-359,1989,20,20,1749,19.4,1,7,1,0,0,5,0,0.05,0.36,0.41,0.05,0.41,0.9,0.9,3.4,4.3,0.05,0.17,0.22,0.05,0.22,Matches
Raúl Albiol,es ESP,DF,Villarreal,36-192,1985,22,22,1935,21.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.03,0.00,0.03,0.03,0.03,Matches
Paco Alcácer,es ESP,FW,Villarreal,28-197,1993,10,6,470,5.2,0,2,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,1.6,1.6,1.6,3.1,0.30,0.30,0.60,0.30,0.60,Matches
Rubén Alcaraz,es ESP,MF,Cádiz,30-318,1991,7,6,570,6.3,2,0,2,0,0,3,0,0.32,0.00,0.32,0.32,0.32,0.6,0.6,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches
Omar Alderete,py PAR,DF,Valencia,25-079,1996,22,21,1796,20.0,2,0,2,0,0,11,0,0.10,0.00,0.10,0.10,0.10,0.8,0.8,0.2,1.0,0.04,0.01,0.05,0.04,0.05,Matches
Iván Alejo,es ESP,MF,Cádiz,27-033,1995,12,5,569,6.3,1,2,1,0,0,5,0,0.16,0.32,0.47,0.16,0.47,0.3,0.3,1.1,1.4,0.04,0.18,0.22,0.04,0.22,Matches
Carles Aleñá,es ESP,MF,Getafe,24-069,1998,24,24,1885,20.9,1,2,1,0,0,6,1,0.05,0.10,0.14,0.05,0.14,1.4,1.4,1.5,2.9,0.07,0.07,0.14,0.07,0.14,Matches
Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21-352,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Hugo Álvarez,es ESP,FW,Celta Vigo,36-267,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.91,0.00,1.91,1.91,1.91,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,27-050,1995,15,15,1305,14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.00,0.03,0.02,0.03,Matches
Dani Alves,br BRA,DF,Barcelona,38-313,1983,5,5,422,4.7,1,2,1,0,0,1,1,0.21,0.43,0.64,0.21,0.64,0.1,0.1,1.2,1.3,0.02,0.26,0.28,0.02,0.28,Matches
Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,20-115,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.04,0.05,0.08,0.04,0.08,Matches
Amath,sn SEN,"FW,MF",Mallorca,25-242,1996,18,8,829,9.2,0,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,1.3,1.3,0.2,1.5,0.14,0.02,0.16,0.14,0.16,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Florin Andone,ro ROU,FW,Cádiz,28-338,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15,Matches
José Ángel,es ESP,DF,Osasuna,32-191,1989,18,8,773,8.6,1,1,1,0,0,1,1,0.12,0.12,0.23,0.12,0.23,0.2,0.2,1.1,1.3,0.02,0.13,0.15,0.02,0.15,Matches
Josep Antoni Gayá,es ESP,DF,Mallorca,21-251,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mauro Arambarri,uy URU,MF,Getafe,26-166,1995,23,23,1943,21.6,0,5,0,0,0,9,0,0.00,0.23,0.23,0.00,0.23,0.9,0.9,1.5,2.4,0.04,0.07,0.11,0.04,0.11,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,30-198,1991,25,20,1844,20.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
Ronald Araújo,uy URU,DF,Barcelona,23-008,1999,21,16,1521,16.9,3,0,3,0,0,4,0,0.18,0.00,0.18,0.18,0.18,0.9,0.9,0.4,1.3,0.05,0.02,0.08,0.05,0.08,Matches
Jesús Areso,es ESP,DF,Osasuna,22-256,1999,2,2,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
Matias Arezo,uy URU,FW,Granada,19-114,2002,3,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.41,0.06,0.47,0.41,0.47,Matches
Santiago Arias,co COL,DF,Granada,30-061,1992,8,3,327,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.6,0.6,0.2,0.8,0.17,0.05,0.22,0.17,0.22,Matches
Santiago Arzamendia,py PAR,"MF,DF",Cádiz,23-314,1998,12,5,453,5.0,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches
Sergio Asenjo,es ESP,GK,Villarreal,32-260,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marco Asensio,es ESP,"FW,MF",Real Madrid,26-053,1996,23,14,1265,14.1,8,0,8,0,0,2,0,0.57,0.00,0.57,0.57,0.57,5.6,5.6,1.8,7.4,0.40,0.13,0.53,0.40,0.53,Matches
Iago Aspas,es ESP,FW,Celta Vigo,34-226,1987,27,26,2212,24.6,13,4,10,3,5,9,0,0.53,0.16,0.69,0.41,0.57,9.9,6.0,5.1,11.1,0.40,0.21,0.61,0.24,0.45,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32-270,1989,6,4,370,4.1,5,0,5,0,0,0,0,1.22,0.00,1.22,1.22,1.22,2.3,2.3,0.2,2.5,0.56,0.05,0.61,0.56,0.61,Matches
Ludwig Augustinsson,se SWE,DF,Sevilla,27-328,1994,14,7,569,6.3,0,1,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,0.2,0.2,0.01,0.03,0.03,0.01,0.03,Matches
Serge Aurier,ci CIV,DF,Villarreal,29-081,1992,12,7,682,7.6,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.6,0.6,1.1,1.7,0.08,0.14,0.22,0.08,0.22,Matches
