D_a_t_e,T_i_m_e,C_o_m_p,R_o_u_n_d,D_a_y,V_e_n_u_e,R_e_s_u_l_t,G_F,G_A,O_p_p_o_n_e_n_t,x_G,x_G_A,P_o_s_s,A_t_t_e_n_d_a_n_c_e,C_a_p_t_a_i_n,F_o_r_m_a_t_i_o_n,R_e_f_e_r_e_e,M_a_t_c_h_ _R_e_p_o_r_t,N_o_t_e_s
2021-08-07,17:15,Community Shield,FA Community Shield,Sat,Neutral,L,0,1,Leicester City,,,57.0,,Fernandinho,4-3-3,Paul Tierney,Match Report,
2021-08-15,16:30,Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,1.9,1.3,64.0,58262.0,Fernandinho,4-3-3,Anthony Taylor,Match Report,
2021-08-21,15:00,Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.7,0.1,67.0,51437.0,İlkay Gündoğan,4-3-3,Graham Scott,Match Report,
2021-08-28,12:30,Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,3.8,0.1,80.0,52276.0,İlkay Gündoğan,4-3-3,Martin Atkinson,Match Report,
2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,2.9,0.8,61.0,32087.0,İlkay Gündoğan,4-3-3,Paul Tierney,Match Report,
2021-09-15,20:00,Champions Lg,Group stage,Wed,Home,W,6,3,de RB Leipzig,2.1,0.6,51.0,38062.0,Rúben Dias,4-3-3,Serdar Gözübüyük,Match Report,
2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,1.1,0.4,63.0,52698.0,Fernandinho,4-3-3,Jonathan Moss,Match Report,
2021-09-21,19:45,EFL Cup,Third round,Tue,Home,W,6,1,Wycombe,,,79.0,30959.0,Kevin De Bruyne,4-3-3,Robert Jones,Match Report,
2021-09-25,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.3,60.0,40036.0,Rúben Dias,4-3-3,Michael Oliver,Match Report,
2021-09-28,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,1.9,0.8,54.0,37350.0,Rúben Dias,4-3-3,Carlos del Cerro,Match Report,
2021-10-03,16:30,Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,1.0,51.0,53102.0,Rúben Dias,4-3-3,Paul Tierney,Match Report,
2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,1.9,1.0,69.0,52711.0,Kevin De Bruyne,4-3-3,Martin Atkinson,Match Report,
2021-10-19,18:45,Champions Lg,Group stage,Tue,Away,W,5,1,be Club Brugge,3.9,0.8,63.0,24915.0,Rúben Dias,4-3-3,István Kovács,Match Report,
2021-10-23,17:30,Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,3.9,1.3,52.0,31215.0,İlkay Gündoğan,4-3-3,Kevin Friend,Match Report,
2021-10-27,19:45,EFL Cup,Fourth round,Wed,Away,D,0 (3),0 (5),West Ham,,,64.0,60000.0,Fernandinho,4-3-3,Jonathan Moss,Match Report,West Ham won on penalty kicks following extra time
2021-10-30,15:00,Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,1.1,1.1,68.0,53014.0,Rúben Dias,4-3-3,Andre Marriner,Match Report,
2021-11-03,20:00,Champions Lg,Group stage,Wed,Home,W,4,1,be Club Brugge,4.4,0.8,70.0,50228.0,İlkay Gündoğan,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-11-06,12:30,Premier League,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,2.0,0.6,67.0,73086.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2021-11-21,14:00,Premier League,Matchweek 12,Sun,Home,W,3,0,Everton,2.3,0.3,76.0,52571.0,İlkay Gündoğan,4-3-3,Stuart Attwell,Match Report,
2021-11-24,20:00,Champions Lg,Group stage,Wed,Home,W,2,1,fr Paris S-G,1.6,1.0,54.0,52030.0,İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,
2021-11-28,14:00,Premier League,Matchweek 13,Sun,Home,W,2,1,West Ham,2.1,0.2,67.0,53245.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2021-12-01,20:15,Premier League,Matchweek 14,Wed,Away,W,2,1,Aston Villa,0.9,0.9,64.0,41400.0,Fernandinho,4-2-3-1,Mike Dean,Match Report,
2021-12-04,17:30,Premier League,Matchweek 15,Sat,Away,W,3,1,Watford,3.6,0.7,76.0,20673.0,İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,
2021-12-07,18:45,Champions Lg,Group stage,Tue,Away,L,1,2,de RB Leipzig,1.3,1.7,56.0,,Fernandinho,4-3-3,Sandro Schärer,Match Report,
2021-12-11,12:30,Premier League,Matchweek 16,Sat,Home,W,1,0,Wolves,3.5,0.2,71.0,52613.0,İlkay Gündoğan,4-3-3,Jonathan Moss,Match Report,
2021-12-14,20:00,Premier League,Matchweek 17,Tue,Home,W,7,0,Leeds United,3.6,0.2,64.0,52401.0,Rúben Dias,4-3-3,Paul Tierney,Match Report,
2021-12-19,14:15,Premier League,Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,3.1,0.4,71.0,52127.0,Rúben Dias,4-3-3,Martin Atkinson,Match Report,
2021-12-26,15:00,Premier League,Matchweek 19,Sun,Home,W,6,3,Leicester City,3.4,2.4,72.0,53226.0,Fernandinho,4-3-3,Chris Kavanagh,Match Report,
2021-12-29,20:15,Premier League,Matchweek 20,Wed,Away,W,1,0,Brentford,0.8,0.3,76.0,17009.0,Fernandinho,4-3-3,David Coote,Match Report,
2022-01-01,12:30,Premier League,Matchweek 21,Sat,Away,W,2,1,Arsenal,1.8,1.0,70.0,59757.0,Rúben Dias,4-3-3,Stuart Attwell,Match Report,
