Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1.0,Sat,2021-07-24,18:00,Luzern,3–4,Young Boys,13200.0,swissporarena,Fedayi San,Match Report,
1.0,Sat,2021-07-24,20:30,Lausanne-Sport,1–2,St. Gallen,4632.0,Stade de la Tuilière,Urs Schnyder,Match Report,
1.0,Sun,2021-07-25,14:15,Lugano,0–2,Zürich,2120.0,Stadio di Cornaredo,Stefan Horisberger,Match Report,
1.0,Sun,2021-07-25,16:30,Grasshopper,0–2,Basel,3400.0,Stadion Letzigrund,Lukas Fähndrich,Match Report,
1.0,Sun,2021-07-25,16:30,Sion,1–2,Servette FC,4000.0,Stade de Tourbillon,Luca Piccolo,Match Report,
,,,,,,,,,,,
2.0,Sat,2021-07-31,18:00,Zürich,3–1,Lausanne-Sport,5433.0,Stadion Letzigrund,Luca Cibelli,Match Report,
2.0,Sat,2021-07-31,20:30,Young Boys,0–0,Grasshopper,20826.0,Wankdorfstadion,Sandro Schärer,Match Report,
2.0,Sun,2021-08-01,14:15,St. Gallen,2–2,Luzern,12548.0,Kybunpark,Adrien Jaccottet,Match Report,
2.0,Sun,2021-08-01,16:30,Basel,6–1,Sion,15112.0,St. Jakob-Park,Urs Schnyder,Match Report,
2.0,Sun,2021-08-01,16:30,Servette FC,0–2,Lugano,3225.0,Stade de Genève,Alain Bieri,Match Report,
,,,,,,,,,,,
3.0,Sat,2021-08-07,18:00,Sion,1–0,Young Boys,4500.0,Stade de Tourbillon,Stefan Horisberger,Match Report,
3.0,Sat,2021-08-07,20:30,Grasshopper,3–1,Lausanne-Sport,2550.0,Stadion Letzigrund,Alain Bieri,Match Report,
3.0,Sun,2021-08-08,14:15,Lugano,2–1,St. Gallen,2692.0,Stadio di Cornaredo,Urs Schnyder,Match Report,
3.0,Sun,2021-08-08,16:30,Basel,5–1,Servette FC,16142.0,St. Jakob-Park,Luca Piccolo,Match Report,
3.0,Sun,2021-08-08,16:30,Luzern,1–3,Zürich,8861.0,swissporarena,Fedayi San,Match Report,
,,,,,,,,,,,
4.0,Sat,2021-08-21,18:00,Zürich,2–1,Grasshopper,14896.0,Stadion Letzigrund,Urs Schnyder,Match Report,
4.0,Sat,2021-08-21,20:30,St. Gallen,1–1,Sion,11927.0,Kybunpark,Lukas Fähndrich,Match Report,
4.0,Sun,2021-08-22,14:15,Lausanne-Sport,2–2,Basel,5635.0,Stade de la Tuilière,Fedayi San,Match Report,
4.0,Sun,2021-08-22,16:30,Servette FC,4–1,Luzern,4052.0,Stade de Genève,Luca Cibelli,Match Report,
,,,,,,,,,,,
5.0,Sat,2021-08-28,18:00,St. Gallen,3–3,Zürich,15045.0,Kybunpark,Luca Cibelli,Match Report,
5.0,Sat,2021-08-28,20:30,Sion,3–2,Lugano,3500.0,Stade de Tourbillon,Urs Schnyder,Match Report,
5.0,Sun,2021-08-29,14:15,Luzern,1–1,Lausanne-Sport,7685.0,swissporarena,Alain Bieri,Match Report,
5.0,Sun,2021-08-29,16:30,Basel,1–1,Young Boys,30027.0,St. Jakob-Park,Sandro Schärer,Match Report,
5.0,Sun,2021-08-29,16:30,Grasshopper,1–1,Servette FC,4018.0,Stadion Letzigrund,Sven Wolfensberger,Match Report,
,,,,,,,,,,,
6.0,Sat,2021-09-11,18:00,Luzern,1–1,Grasshopper,9217.0,swissporarena,Esther Staubli,Match Report,
6.0,Sat,2021-09-11,20:30,Young Boys,4–0,Zürich,24062.0,Wankdorfstadion,Adrien Jaccottet,Match Report,
6.0,Sun,2021-09-12,14:15,Servette FC,5–1,St. Gallen,7065.0,Stade de Genève,Stefan Horisberger,Match Report,
6.0,Sun,2021-09-12,16:30,Lausanne-Sport,1–1,Sion,12150.0,Stade de la Tuilière,Fedayi San,Match Report,
6.0,Sun,2021-09-12,16:30,Lugano,1–1,Basel,3050.0,Stadio di Cornaredo,Lukas Fähndrich,Match Report,
,,,,,,,,,,,
7.0,Tue,2021-09-21,20:30,Zürich,2–2,Servette FC,7104.0,Stadion Letzigrund,Alessandro Dudic,Match Report,
7.0,Wed,2021-09-22,18:00,Lausanne-Sport,1–6,Young Boys,4875.0,Stade de la Tuilière,Luca Piccolo,Match Report,
7.0,Wed,2021-09-22,20:30,St. Gallen,0–2,Basel,14321.0,Kybunpark,Sandro Schärer,Match Report,
7.0,Thu,2021-09-23,20:30,Sion,1–1,Luzern,4000.0,Stade de Tourbillon,Fedayi San,Match Report,
7.0,Thu,2021-09-23,20:30,Lugano,1–1,Grasshopper,2136.0,Stadio di Cornaredo,Adrien Jaccottet,Match Report,
,,,,,,,,,,,
8.0,Sat,2021-09-25,18:00,Young Boys,2–1,St. Gallen,25000.0,Wankdorfstadion,Luca Cibelli,Match Report,
8.0,Sat,2021-09-25,20:30,Servette FC,1–1,Lausanne-Sport,11225.0,Stade de Genève,Stefan Horisberger,Match Report,
8.0,Sun,2021-09-26,14:15,Luzern,2–3,Lugano,8218.0,swissporarena,Adrien Jaccottet,Match Report,
8.0,Sun,2021-09-26,16:30,Basel,3–1,Zürich,27264.0,St. Jakob-Park,Urs Schnyder,Match Report,
8.0,Sun,2021-09-26,16:30,Grasshopper,3–1,Sion,3785.0,Stadion Letzigrund,Luca Piccolo,Match Report,
,,,,,,,,,,,
